protocol,degradation,setting,threshold,fpr,tpr,f1,bacc
urban_residential,lowres,PaDiM-AC (q97.5),1.2357789702131816,0.023333333333333334,0.5983333333333334,0.7379239465570401,0.7875000000000001
urban_residential,noise,PaDiM-AC (q90),0.7471370272531966,0.14666666666666667,0.9516666666666667,0.9070691024622716,0.9025
urban_residential,noise,PaDiM-AC (q92.5),0.8455888773311704,0.12,0.9316666666666666,0.9082047116165719,0.9058333333333333
urban_residential,noise,PaDiM-AC (q95),1.0,0.075,0.885,0.903061224489796,0.905
urban_residential,noise,PaDiM-AC (matched-FPR),0.980016827583313,0.07666666666666666,0.8966666666666666,0.9087837837837838,0.9099999999999999
urban_residential,noise,PaDiM-AC (q97.5),1.2357789702131816,0.03333333333333333,0.7716666666666666,0.8550323176361957,0.8691666666666666
vegetation_forest,blur,PaDiM-AC (q90),0.6914271482791056,0.05333333333333334,0.8066666666666666,0.8673835125448028,0.8766666666666667
vegetation_forest,blur,PaDiM-AC (q92.5),0.8138401497002935,0.03666666666666667,0.755,0.8427906976744186,0.8591666666666666
vegetation_forest,blur,PaDiM-AC (q95),1.0,0.011666666666666667,0.6666666666666666,0.7944389275074478,0.8274999999999999
vegetation_forest,blur,PaDiM-AC (matched-FPR),0.980016827583313,0.011666666666666667,0.6733333333333333,0.7992087042532146,0.8308333333333333
vegetation_forest,blur,PaDiM-AC (q97.5),1.2994504728008698,0.0016666666666666668,0.5283333333333333,0.690631808278867,0.7633333333333333
vegetation_forest,jpeg,PaDiM-AC (q90),0.6914271482791056,0.22,0.8883333333333333,0.8426877470355731,0.8341666666666667
vegetation_forest,jpeg,PaDiM-AC (q92.5),0.8138401497002935,0.18,0.8583333333333333,0.8421913327882256,0.8391666666666666
vegetation_forest,jpeg,PaDiM-AC (q95),1.0,0.12166666666666667,0.78,0.8203330411919368,0.8291666666666666
vegetation_forest,jpeg,PaDiM-AC (matched-FPR),0.980016827583313,0.12833333333333333,0.7883333333333333,0.8226086956521738,0.8300000000000001
vegetation_forest,jpeg,PaDiM-AC (q97.5),1.2994504728008698,0.06666666666666667,0.6683333333333333,0.7704130643611912,0.8008333333333333
vegetation_forest,light,PaDiM-AC (q90),0.6914271482791056,0.021666666666666667,0.7683333333333333,0.8584729981378025,0.8733333333333333
vegetation_forest,light,PaDiM-AC (q92.5),0.8138401497002935,0.01,0.7066666666666667,0.8233009708737864,0.8483333333333334
vegetation_forest,light,PaDiM-AC (q95),1.0,0.0033333333333333335,0.61,0.756198347107438,0.8033333333333333
vegetation_forest,light,PaDiM-AC (matched-FPR),0.980016827583313,0.0033333333333333335,0.62,0.7638603696098563,0.8083333333333333
vegetation_forest,light,PaDiM-AC (q97.5),1.2994504728008698,0.0,0.47833333333333333,0.6471251409244645,0.7391666666666666
vegetation_forest,lowres,PaDiM-AC (q90),0.6914271482791056,0.11833333333333333,0.805,0.8370883882149046,0.8433333333333334
vegetation_forest,lowres,PaDiM-AC (q92.5),0.8138401497002935,0.08833333333333333,0.7633333333333333,0.8244824482448245,0.8374999999999999
vegetation_forest,lowres,PaDiM-AC (q95),1.0,0.056666666666666664,0.665,0.7725072604065828,0.8041666666666667
vegetation_forest,lowres,PaDiM-AC (matched-FPR),0.980016827583313,0.06166666666666667,0.6716666666666666,0.775,0.8049999999999999
vegetation_forest,lowres,PaDiM-AC (q97.5),1.2994504728008698,0.011666666666666667,0.5116666666666667,0.6717724288840262,0.75
vegetation_forest,noise,PaDiM-AC (q90),0.6914271482791056,0.095,0.935,0.9211822660098523,0.92
vegetation_forest,noise,PaDiM-AC (q92.5),0.8138401497002935,0.041666666666666664,0.9033333333333333,0.9288774635818337,0.9308333333333334
vegetation_forest,noise,PaDiM-AC (q95),1.0,0.02,0.8183333333333334,0.8902991840435177,0.8991666666666667
vegetation_forest,noise,PaDiM-AC (matched-FPR),0.980016827583313,0.021666666666666667,0.8283333333333334,0.8954954954954956,0.9033333333333333
vegetation_forest,noise,PaDiM-AC (q97.5),1.2994504728008698,0.0033333333333333335,0.6583333333333333,0.7923771313941825,0.8275
water_sealake,blur,PaDiM-AC (q90),0.7841969653303659,0.09333333333333334,0.9383333333333334,0.9237079573420836,0.9225
water_sealake,blur,PaDiM-AC (q92.5),0.8836227044720074,0.07333333333333333,0.8566666666666667,0.8877374784110534,0.8916666666666666
water_sealake,blur,PaDiM-AC (q95),1.0,0.043333333333333335,0.71,0.8098859315589354,0.8333333333333333
water_sealake,blur,PaDiM-AC (matched-FPR),0.980016827583313,0.045,0.7366666666666667,0.8269410664172123,0.8458333333333333
water_sealake,blur,PaDiM-AC (q97.5),1.13964254247023,0.018333333333333333,0.5066666666666667,0.6644808743169399,0.7441666666666666
water_sealake,jpeg,PaDiM-AC (q90),0.7841969653303659,0.11666666666666667,0.975,0.9322709163346613,0.9291666666666667
water_sealake,jpeg,PaDiM-AC (q92.5),0.8836227044720074,0.09833333333333333,0.95,0.9275834011391374,0.9258333333333333
