protocol,normal_class,anomaly_classes,degradation,memory,threshold,method,auc,gap,fpr,tpr,f1,bacc,file
urban_residential,Residential,"Industrial,Highway",light,mixed,corruption_agnostic,DRA-Inspect-AC,0.9562527777777777,1.0826427936553955,0.03666666666666667,0.6816666666666666,0.7934044616876819,0.8225,eurosat_residential_urban_residential_light_mixed_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",lowres,clean,clean_fixed,PatchCore-CF,0.9383888888888889,0.4530625343322754,0.075,0.7433333333333333,0.8175985334555453,0.8341666666666667,eurosat_residential_urban_residential_lowres_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",lowres,clean,corruption_agnostic,PatchCore-AC,0.9383888888888889,1.211479663848877,0.07,0.7016666666666667,0.7920978363123234,0.8158333333333333,eurosat_residential_urban_residential_lowres_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",lowres,mixed,clean_fixed,DRA-Inspect-CF,0.9443527777777778,0.52701735496521,0.0,0.085,0.1566820276497696,0.5425,eurosat_residential_urban_residential_lowres_mixed_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",lowres,mixed,corruption_agnostic,DRA-Inspect-AC,0.9443527777777778,1.086323857307434,0.0,0.14833333333333334,0.25834542815674894,0.5741666666666667,eurosat_residential_urban_residential_lowres_mixed_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",noise,clean,clean_fixed,PatchCore-CF,0.9407222222222222,0.48463964462280273,0.03333333333333333,0.6,0.7346938775510204,0.7833333333333333,eurosat_residential_urban_residential_noise_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",noise,clean,corruption_agnostic,PatchCore-AC,0.9407222222222222,1.2959176301956177,0.03,0.5666666666666667,0.7098121085594988,0.7683333333333333,eurosat_residential_urban_residential_noise_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",noise,mixed,clean_fixed,DRA-Inspect-CF,0.9367694444444444,0.5085575580596924,0.016666666666666666,0.4633333333333333,0.6261261261261262,0.7233333333333333,eurosat_residential_urban_residential_noise_mixed_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",noise,mixed,corruption_agnostic,DRA-Inspect-AC,0.9367694444444444,1.048272728919983,0.041666666666666664,0.6166666666666667,0.743718592964824,0.7875000000000001,eurosat_residential_urban_residential_noise_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,blur,clean,clean_fixed,PatchCore-CF,0.9567222222222223,1.8027076721191406,0.035,0.52,0.6688102893890675,0.7424999999999999,eurosat_sealake_water_sealake_blur_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,blur,clean,corruption_agnostic,PatchCore-AC,0.9567222222222223,1.1339796781539917,0.04,0.6016666666666667,0.7329949238578681,0.7808333333333333,eurosat_sealake_water_sealake_blur_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,blur,mixed,clean_fixed,DRA-Inspect-CF,0.9671222222222222,2.0138702392578125,0.011666666666666667,0.21833333333333332,0.35501355013550134,0.6033333333333333,eurosat_sealake_water_sealake_blur_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,blur,mixed,corruption_agnostic,DRA-Inspect-AC,0.9671222222222222,1.1087294816970825,0.03333333333333333,0.5566666666666666,0.7002096436058701,0.7616666666666667,eurosat_sealake_water_sealake_blur_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,jpeg,clean,clean_fixed,PatchCore-CF,0.95905,1.5063307285308838,0.06,0.7666666666666667,0.8394160583941607,0.8533333333333333,eurosat_sealake_water_sealake_jpeg_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,jpeg,clean,corruption_agnostic,PatchCore-AC,0.95905,0.9475456476211548,0.07666666666666666,0.8233333333333334,0.8666666666666667,0.8733333333333333,eurosat_sealake_water_sealake_jpeg_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,jpeg,mixed,clean_fixed,DRA-Inspect-CF,0.9636888888888889,2.294689416885376,0.056666666666666664,0.7316666666666667,0.8182665424044735,0.8375,eurosat_sealake_water_sealake_jpeg_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,jpeg,mixed,corruption_agnostic,DRA-Inspect-AC,0.9636888888888889,1.2633336782455444,0.08166666666666667,0.9133333333333333,0.9156223893065998,0.9158333333333333,eurosat_sealake_water_sealake_jpeg_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,light,clean,clean_fixed,PatchCore-CF,0.964,1.9929559230804443,0.035,0.6066666666666667,0.7390862944162436,0.7858333333333334,eurosat_sealake_water_sealake_light_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,light,clean,corruption_agnostic,PatchCore-AC,0.964,1.2536540031433105,0.045,0.6716666666666666,0.7825242718446602,0.8133333333333332,eurosat_sealake_water_sealake_light_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,light,mixed,clean_fixed,DRA-Inspect-CF,0.9663083333333333,2.0428202152252197,0.03166666666666667,0.6083333333333333,0.741869918699187,0.7883333333333333,eurosat_sealake_water_sealake_light_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,light,mixed,corruption_agnostic,DRA-Inspect-AC,0.9663083333333333,1.1246681213378906,0.07,0.8866666666666667,0.9063032367972744,0.9083333333333333,eurosat_sealake_water_sealake_light_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,lowres,clean,clean_fixed,PatchCore-CF,0.9556916666666667,1.7725608348846436,0.03333333333333333,0.48,0.6343612334801763,0.7233333333333334,eurosat_sealake_water_sealake_lowres_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,lowres,clean,corruption_agnostic,PatchCore-AC,0.9556916666666667,1.1150161027908325,0.043333333333333335,0.5766666666666667,0.7119341563786007,0.7666666666666666,eurosat_sealake_water_sealake_lowres_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,lowres,mixed,clean_fixed,DRA-Inspect-CF,0.9655138888888889,2.1164917945861816,0.01,0.15333333333333332,0.26361031518624634,0.5716666666666667,eurosat_sealake_water_sealake_lowres_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,lowres,mixed,corruption_agnostic,DRA-Inspect-AC,0.9655138888888889,1.1652275323867798,0.023333333333333334,0.41333333333333333,0.5754060324825987,0.6950000000000001,eurosat_sealake_water_sealake_lowres_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,noise,clean,clean_fixed,PatchCore-CF,0.9595972222222222,1.0125248432159424,0.04666666666666667,0.595,0.7248730964467005,0.7741666666666667,eurosat_sealake_water_sealake_noise_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,noise,clean,corruption_agnostic,PatchCore-AC,0.9595972222222222,0.6369209289550781,0.055,0.6833333333333333,0.7861936720997124,0.8141666666666667,eurosat_sealake_water_sealake_noise_clean_cal__core0p05__core005.json
water_sealake,SeaLake,River,noise,mixed,clean_fixed,DRA-Inspect-CF,0.9619361111111111,1.4235527515411377,0.028333333333333332,0.49666666666666665,0.6513661202185792,0.7341666666666666,eurosat_sealake_water_sealake_noise_mixed_cal__core0p05__core005.json
water_sealake,SeaLake,River,noise,mixed,corruption_agnostic,DRA-Inspect-AC,0.9619361111111111,0.7837321758270264,0.056666666666666664,0.78,0.8493647912885662,0.8616666666666667,eurosat_sealake_water_sealake_noise_mixed_cal__core0p05__core005.json
